Time,Theta1_planned,Theta1_current,Theta2_planned,Theta2_current,h3_planned,h3_current,Theta4_planned,Theta4_current,x,y
0.04,57.8844,57.8844,-30.7154,-30.7154,-120,-120,27.169,27.169,202.637,266.989
0.08,57.5654,57.5847,-29.8655,-29.9156,-120,-120,27.6998,27.6691,228.189,234.42
0.12,57.2463,57.3295,-29.0185,-29.2369,-120,-120,28.2278,28.0925,242.098,202.098
0.16,56.9272,57.0741,-28.1744,-28.5602,-120,-120,28.7528,28.5139,247.941,167.509
0.2,56.6081,56.8182,-27.3331,-27.8843,-120,-120,29.275,28.9339,245.387,132.604
0.24,56.2889,56.5634,-26.4948,-27.2139,-120,-120,29.7941,29.3495,234.671,99.654
0.28,55.9697,56.308,-25.6593,-26.5442,-120,-120,30.3104,29.7638,216.417,70.3387
0.32,55.6505,56.0524,-24.8267,-25.8763,-120,-120,30.8238,30.176,191.734,46.4288
0.36,55.3312,55.7972,-23.997,-25.2119,-120,-120,31.3342,30.5852,162.188,29.3664
0.4,55.0119,55.5415,-23.1702,-24.5487,-120,-120,31.8417,30.9928,129.468,20.0798
0.44,54.6926,55.2859,-22.3463,-23.888,-120,-120,32.3463,31.3976,95.6159,19.1319
0.48,54.3733,55.0305,-21.5253,-23.2303,-120,-120,32.848,31.8002,62.6996,26.5394
0.52,54.0539,54.7748,-20.7072,-22.5741,-120,-120,33.3467,32.2007,32.6407,41.8605
0.56,53.7344,54.4077,-19.8919,-21.6355,-120,-120,33.8425,32.7722,-1.82533,75.7099
0.6,53.415,54.0402,-19.0796,-20.6993,-120,-120,34.3354,33.341,-22.2763,119.704
0.64,53.0955,53.6728,-18.2701,-19.7667,-120,-120,34.8254,33.9062,-26.0374,168.341
0.68,52.776,53.4171,-17.4636,-19.12,-120,-120,35.3124,34.2972,-18.4095,201.747
0.72,52.4564,53.0496,-16.6599,-18.194,-120,-120,35.7966,34.8556,6.35835,244.571
0.76,52.1369,52.6821,-15.8591,-17.2713,-120,-120,36.2778,35.4108,44.6814,276.557
0.8,51.8173,52.4263,-15.0612,-16.6316,-120,-120,36.7561,35.7947,76.9768,290.219
0.84,51.4976,52.1703,-14.2662,-15.9938,-120,-120,37.2314,36.1766,111.803,295.804
0.88,51.1779,51.9147,-13.4741,-15.3592,-120,-120,37.7039,36.5555,147.05,292.937
0.92,50.8582,51.6589,-12.6848,-14.7264,-120,-120,38.1734,36.9324,180.734,281.754
0.96,50.5385,51.2831,-11.8985,-13.8007,-120,-120,38.64,37.4825,223.237,251.689
1,50.2187,50.9072,-11.115,-12.8779,-120,-120,39.1037,38.0293,252.796,208.853
1.04,49.8989,50.6511,-10.3345,-12.2517,-120,-120,39.5644,38.3995,263.547,175.071
1.08,49.5791,50.2834,-9.5568,-11.3558,-120,-120,40.0223,38.9276,264.302,124.536
1.12,49.2592,50.0277,-8.78202,-10.7353,-120,-120,40.4772,39.2924,254.63,90.8708
1.16,48.9393,49.6597,-8.01013,-9.84574,-120,-120,40.9292,39.814,227.419,49.0102
1.2,48.6194,49.4035,-7.24112,-9.22859,-120,-120,41.3782,40.1749,200.838,26.8384
1.24,48.2994,49.1477,-6.47501,-8.6149,-120,-120,41.8244,40.5328,169.871,11.9502
1.28,47.9794,48.8916,-5.71179,-8.00304,-120,-120,42.2676,40.8886,136.336,5.15886
1.32,47.6594,48.6349,-4.95146,-7.39191,-120,-120,42.7079,41.243,102.215,6.87363
1.36,47.3393,48.2592,-4.19402,-6.50116,-120,-120,43.1453,41.7581,55.7333,24.3632
1.4,47.0192,48.0033,-3.43946,-5.89661,-120,-120,43.5797,42.1067,29.1709,45.4117
1.44,46.6991,47.6271,-2.6878,-5.01167,-120,-120,44.0113,42.6155,1.51865,86.7074
1.48,46.3789,47.2505,-1.93903,-4.12917,-120,-120,44.4399,43.1214,-9.42374,135.447
1.52,46.0587,46.8906,-1.19315,-3.28905,-120,-120,44.8656,43.6016,-2.78085,183.059
1.56,45.7385,46.6341,-0.450153,-2.69264,-120,-120,45.2883,43.9414,11.8714,214.381
1.6,45.4182,46.2578,0.289951,-1.82137,-120,-120,45.7082,44.4364,46.3207,251.924
1.64,45.0979,46.0012,1.02716,-1.22949,-120,-120,46.1251,44.7717,76.6956,269.546
1.68,44.7776,45.7452,1.76149,-0.641371,-120,-120,46.5391,45.1038,110.538,279.351
1.72,44.4573,45.3689,2.49292,0.219319,-120,-120,46.9502,45.5883,162.462,278.469
1.76,44.1369,45.1125,3.22147,0.803762,-120,-120,47.3584,45.9162,196.373,267.429
1.8,43.8165,44.8639,3.94712,1.36777,-120,-120,47.7636,46.2317,225.869,249.274
1.84,43.496,44.4952,4.66989,2.20105,-120,-120,48.1659,46.6963,260.054,211.05
1.88,43.1755,44.127,5.38976,3.02988,-120,-120,48.5653,47.1569,279.208,163.643
1.92,42.855,43.7501,6.10675,3.8748,-120,-120,48.9618,47.6249,280.942,111.578
1.96,42.5345,43.3736,6.82084,4.71516,-120,-120,49.3553,48.0888,264.522,62.5756
2,42.2139,42.9968,7.53205,5.553,-120,-120,49.7459,48.5497,232.15,22.7604
2.04,41.8933,42.6201,8.24036,6.38686,-120,-120,50.1337,49.007,188.171,-2.74704
2.08,41.5726,42.3633,8.94579,6.95297,-120,-120,50.5184,49.3163,154.464,-10.2233
2.12,41.252,41.9944,9.64833,7.76297,-120,-120,50.9003,49.7573,105.46,-5.93912
2.16,40.9313,41.6258,10.348,8.56872,-120,-120,51.2792,50.1945,61.4009,15.3071
2.2,40.6105,41.2487,11.0447,9.38976,-120,-120,51.6553,50.6384,27.203,51.7214
2.24,40.2898,40.9922,11.7386,9.94559,-120,-120,52.0283,50.9378,12.6251,82.5525
2.28,39.969,40.6232,12.4296,10.7421,-120,-120,52.3985,51.3654,6.07033,131.22
2.32,39.6481,40.246,13.1177,11.553,-120,-120,52.7658,51.7989,17.6705,180.378
2.36,39.3272,39.9894,13.8029,12.102,-120,-120,53.1301,52.0914,35.5086,210.124
2.4,39.0063,39.7327,14.4852,12.649,-120,-120,53.4915,52.3817,60.2785,234.74
2.44,38.6854,39.4756,15.1646,13.1945,-120,-120,53.85,52.6701,90.5558,252.689
2.48,38.3644,39.1067,15.8411,13.9737,-120,-120,54.2056,53.0804,139.868,264.537
2.52,38.0435,38.8497,16.5148,14.5142,-120,-120,54.5582,53.3639,175.448,262.348
2.56,37.7224,38.5929,17.1855,15.0521,-120,-120,54.9079,53.6449,209.577,251.623
2.6,37.4014,38.3359,17.8534,15.5879,-120,-120,55.2547,53.9237,240.242,232.958
2.64,37.0803,37.9666,18.5183,16.3542,-120,-120,55.5986,54.3208,274.57,194.545
2.68,36.7591,37.5974,19.1804,17.1171,-120,-120,55.9395,54.7146,293.753,146.774
2.72,36.438,37.3403,19.8396,17.6461,-120,-120,56.2776,54.9864,296.851,111.06
2.76,36.1168,37.0834,20.4959,18.1721,-120,-120,56.6127,55.2555,291.283,75.8198
2.8,35.7956,36.8264,21.1493,18.6961,-120,-120,56.9449,55.5225,277.417,43.1014
2.84,35.4743,36.4566,21.7998,19.4466,-120,-120,57.2741,55.9032,244.767,4.36948
2.88,35.153,36.1998,22.4475,19.9655,-120,-120,57.6005,56.1653,215.255,-14.4929
2.92,34.8317,35.8303,23.0922,20.7086,-120,-120,57.9239,56.5389,167.097,-27.5641
2.96,34.5104,35.573,23.7341,21.2237,-120,-120,58.2444,56.7967,132.504,-26.1408
3,34.189,35.3159,24.373,21.736,-120,-120,58.562,57.0519,99.5309,-16.1676
3.04,33.8676,35.0587,25.0091,22.2462,-120,-120,58.8766,57.3049,70.1848,1.71435
