Time,Theta1_planned,Theta1_current,Theta2_planned,Theta2_current,h3_planned,h3_current,Theta4_planned,Theta4_current,x,y
0.04,72.482,72.482,-66.8062,-66.8062,-170,-170,-4.32423,-4.32423,-24.9786,300.684
0.08,72.7847,72.744,-66.1667,-66.2534,-170.055,-170.048,-3.50009,-3.61157,-53.5449,274.292
0.12,73.0861,72.9857,-65.5284,-65.7421,-170.111,-170.092,-2.67795,-2.95285,-72.6953,244.153
0.16,73.3863,73.2264,-64.8913,-65.2319,-170.167,-170.137,-1.85778,-2.29585,-83.7073,210.554
0.2,73.6852,73.4661,-64.2553,-64.7225,-170.222,-170.181,-1.03961,-1.64036,-86.0542,175.616
0.24,73.9828,73.8166,-63.6205,-63.9758,-170.278,-170.247,-0.223417,-0.680029,-73.9221,126.359
0.28,74.2792,74.1658,-62.9869,-63.2302,-170.334,-170.313,0.590788,0.278401,-45.1592,85.1892
0.32,74.5743,74.5059,-62.3545,-62.5022,-170.39,-170.377,1.40301,1.21368,-4.8267,57.8201
0.36,74.8681,74.7415,-61.7233,-61.9966,-170.447,-170.422,2.21324,1.86285,27.5789,48.1245
0.4,75.1606,74.976,-61.0932,-61.4921,-170.503,-170.467,3.02149,2.51013,61.2363,46.7372
0.44,75.4519,75.2096,-60.4643,-60.9884,-170.559,-170.512,3.82775,3.15614,94.1427,53.6465
0.48,75.7419,75.4422,-59.8366,-60.4856,-170.616,-170.557,4.63202,3.80049,124.331,68.359
0.52,76.0307,75.6737,-59.2101,-59.9839,-170.672,-170.603,5.43431,4.4432,150.052,89.9379
0.56,76.3181,75.9043,-58.5847,-59.4829,-170.729,-170.648,6.23461,5.08452,169.857,117.084
0.6,76.6043,76.2359,-57.9605,-58.7605,-170.786,-170.714,7.03293,6.00876,185.897,162.882
0.64,76.8892,76.4628,-57.3375,-58.2652,-170.843,-170.759,7.82926,6.64206,187.484,196.341
0.68,77.1729,76.6902,-56.7157,-57.7671,-170.9,-170.805,8.62361,7.27844,181.213,229.519
0.72,77.4553,76.9167,-56.095,-57.27,-170.957,-170.85,9.41597,7.91331,167.447,260.363
0.76,77.7364,77.1421,-55.4756,-56.774,-171.015,-170.896,10.2063,8.54632,147.007,287.21
0.8,78.0162,77.3665,-54.8573,-56.2788,-171.072,-170.942,10.9947,9.17802,121.031,308.686
0.84,78.2948,77.5898,-54.2401,-55.7848,-171.13,-170.988,11.7811,9.80761,90.9823,323.694
0.88,78.5721,77.9096,-53.6242,-55.0753,-171.187,-171.054,12.5656,10.7115,43.7745,332.644
0.92,78.8481,78.131,-53.0094,-54.583,-171.245,-171.1,13.348,11.3383,10.6013,329.732
0.96,79.1229,78.3514,-52.3958,-54.0913,-171.303,-171.147,14.1284,11.9638,-20.8977,319.559
1,79.3964,78.5707,-51.7834,-53.601,-171.361,-171.193,14.9069,12.5873,-49.1135,302.772
1.04,79.6686,78.7891,-51.1722,-53.1114,-171.419,-171.239,15.6834,13.2095,-72.7069,280.315
1.08,79.9395,79.1014,-50.5621,-52.409,-171.477,-171.306,16.4578,14.1014,-96.3706,240.587
1.12,80.2092,79.3111,-49.9532,-51.9364,-171.535,-171.351,17.2303,14.7013,-104.536,210.76
1.16,80.4776,79.5197,-49.3455,-51.4646,-171.594,-171.397,18.0009,15.2996,-106.057,180.163
1.2,80.7447,79.7338,-48.739,-50.9792,-171.652,-171.443,18.7694,15.9149,-100.726,149.341
1.24,81.0106,79.947,-48.1337,-50.4944,-171.711,-171.49,19.5359,16.529,-88.7711,120.72
1.28,81.2752,80.1593,-47.5295,-50.0103,-171.77,-171.537,20.3005,17.1418,-70.8952,95.6857
1.32,81.5385,80.3705,-46.9265,-49.5273,-171.829,-171.584,21.0631,17.7527,-48.0859,75.4161
1.36,81.8006,80.5808,-46.3247,-49.0453,-171.888,-171.632,21.8236,18.3622,-21.5296,60.8115
1.4,82.0614,80.7899,-45.724,-48.5642,-171.947,-171.679,22.5822,18.9699,7.42319,52.4927
1.44,82.3209,81.0891,-45.1246,-47.8741,-172.006,-171.747,23.3389,19.8412,50.431,52.0943
1.48,82.5791,81.2963,-44.5263,-47.3948,-172.065,-171.794,24.0935,20.4461,79.3311,59.7819
1.52,82.8361,81.5024,-43.9292,-46.9166,-172.125,-171.842,24.8461,21.049,105.793,73.535
1.56,83.0918,81.7075,-43.3332,-46.4392,-172.184,-171.889,25.5968,21.6505,128.634,92.6529
1.6,83.3462,81.9116,-42.7385,-45.9628,-172.244,-171.937,26.3455,22.2504,146.836,116.198
1.64,83.5994,82.1147,-42.1449,-45.4875,-172.304,-171.985,27.0921,22.8485,159.617,143.046
1.68,83.8513,82.3167,-41.5525,-45.0129,-172.363,-172.033,27.8368,23.4453,166.47,171.989
1.72,84.1019,82.6057,-40.9613,-44.3323,-172.423,-172.102,28.5795,24.3007,165.489,214.68
1.76,84.3512,82.8059,-40.3712,-43.8593,-172.483,-172.15,29.3203,24.8946,157.367,243.356
1.8,84.5993,83.0048,-39.7823,-43.3879,-172.544,-172.198,30.059,25.4861,143.596,269.71
1.84,84.8461,83.2028,-39.1947,-42.9172,-172.604,-172.246,30.7958,26.0765,124.79,292.719
1.88,85.0916,83.3998,-38.6081,-42.4474,-172.664,-172.294,31.5305,26.6652,101.805,311.441
1.92,85.3359,83.5958,-38.0228,-41.9785,-172.725,-172.343,32.2633,27.2525,75.6209,325.168
1.96,85.5789,83.7907,-37.4386,-41.5106,-172.786,-172.391,32.9941,27.838,47.354,333.406
2,85.8206,84.0695,-36.8556,-40.8393,-172.846,-172.461,33.7229,28.6774,5.3394,335.182
2.04,86.061,84.3527,-36.2738,-40.155,-172.907,-172.532,34.4498,29.5327,-36.0705,324.86
2.08,86.3002,84.5447,-35.6932,-39.6899,-172.968,-172.581,35.1746,30.1135,-61.6107,311.335
2.12,86.5381,84.7355,-35.1137,-39.2258,-173.029,-172.63,35.8975,30.6927,-83.8445,293.242
2.16,86.7748,84.9254,-34.5355,-38.7625,-173.09,-172.679,36.6183,31.2704,-101.985,271.356
2.2,87.0101,85.2028,-33.9584,-38.0836,-173.152,-172.751,37.3372,32.1164,-119.967,234.231
2.24,87.2442,85.4728,-33.3824,-37.4205,-173.213,-172.821,38.0541,32.9421,-126.607,194.866
2.28,87.4771,85.6596,-32.8077,-36.96,-173.275,-172.871,38.769,33.5151,-124.645,167.408
2.32,87.7086,85.8454,-32.2341,-36.5006,-173.336,-172.92,39.4819,34.0863,-117.46,141.113
2.36,87.9389,86.0302,-31.6617,-36.0421,-173.398,-172.969,40.1929,34.6561,-105.422,116.933
2.4,88.1679,86.2139,-31.0905,-35.5846,-173.46,-173.019,40.9018,35.224,-89.081,95.7374
2.44,88.3957,86.3967,-30.5205,-35.128,-173.522,-173.068,41.6088,35.7905,-69.1184,78.2432
2.48,88.6221,86.5785,-29.9516,-34.6722,-173.584,-173.118,42.3138,36.3556,-46.3273,65.022
2.52,88.8473,86.8382,-29.3839,-34.0186,-173.646,-173.189,43.0168,37.1652,-10.3737,54.2839
2.56,89.0713,87.0179,-28.8174,-33.5649,-173.708,-173.239,43.7178,37.7269,15.5741,52.8398
2.6,89.2939,87.1966,-28.2521,-33.1119,-173.771,-173.289,44.4168,38.2872,41.2021,56.3421
2.64,89.5153,87.3742,-27.6879,-32.6601,-173.833,-173.339,45.1138,38.8456,65.5858,64.5858
2.68,89.7355,87.5508,-27.125,-32.2092,-173.896,-173.389,45.8089,39.4025,87.9112,77.2153
2.72,89.9543,87.7265,-26.5631,-31.7591,-173.959,-173.439,46.502,39.958,107.44,93.7379
2.76,90.1719,87.8957,-26.0025,-31.324,-174.022,-173.488,47.193,40.4946,123.092,112.87
2.8,90.3882,88.1452,-25.4431,-30.68,-174.085,-173.56,47.8821,41.2882,139.463,145.555
2.84,90.6032,88.3178,-24.8848,-30.2327,-174.148,-173.611,48.5692,41.8389,145.568,170.265
2.88,90.817,88.4893,-24.3277,-29.7865,-174.211,-173.661,49.2544,42.3878,147.139,195.621
2.92,91.0295,88.6598,-23.7718,-29.3413,-174.274,-173.712,49.9375,42.9352,144.186,220.809
2.96,91.2407,88.8294,-23.2171,-28.8969,-174.338,-173.763,50.6186,43.4811,136.86,245.039
3,91.4507,88.9979,-22.6635,-28.4535,-174.401,-173.813,51.2978,44.0253,125.447,267.573
3.04,91.6594,89.1654,-22.1111,-28.0108,-174.465,-173.864,51.975,44.5682,110.346,287.751
3.08,91.8668,89.4047,-21.5599,-27.3762,-174.528,-173.937,52.6502,45.3459,83.1943,311.504
3.12,92.0729,89.5701,-21.0099,-26.9357,-174.592,-173.989,53.3234,45.8852,61.3512,323.748
3.16,92.2778,89.7346,-20.461,-26.4959,-174.656,-174.04,53.9946,46.4233,37.8473,332.108
3.2,92.4814,89.898,-19.9134,-26.0573,-174.72,-174.091,54.6638,46.9595,13.4141,336.397
3.24,92.6837,90.0604,-19.3669,-25.6196,-174.785,-174.142,55.3311,47.4942,-11.2554,336.569
3.28,92.8848,90.2218,-18.8215,-25.1827,-174.849,-174.194,55.9964,48.0273,-35.462,332.692
3.32,93.0846,90.3823,-18.2774,-24.7467,-174.913,-174.245,56.6596,48.5591,-58.5496,324.944
3.36,93.2831,90.6113,-17.7344,-24.1215,-174.978,-174.319,57.3209,49.3208,-88.5739,307.607
3.4,93.4803,90.7697,-17.1926,-23.6875,-175.042,-174.371,57.9802,49.8491,-106.523,291.771
3.44,93.6763,90.927,-16.652,-23.2545,-175.107,-174.423,58.6376,50.3758,-121.534,273.399
3.48,93.871,91.0833,-16.1126,-22.8224,-175.172,-174.475,59.2929,50.901,-133.274,253.027
3.52,94.0645,91.3114,-15.5743,-22.189,-175.237,-174.551,59.9462,51.6701,-144.115,220.662
3.56,94.2566,91.4656,-15.0372,-21.7588,-175.302,-174.603,60.5976,52.1921,-146.958,197.819
3.6,94.4475,91.6189,-14.5013,-21.3295,-175.367,-174.655,61.247,52.7125,-146.111,175.043
3.64,94.6371,91.7711,-13.9666,-20.9013,-175.433,-174.707,61.8944,53.2312,-141.679,152.925
